2024-12-21 03:08:13 [http-nio-8081-exec-8] INFO  operations.student - 学生 (id:1, 姓名:小美, 昵称:Aozora) 更改邮箱
2024-12-21 03:10:53 [http-nio-8081-exec-8] INFO  operations.student - 学生(id:84, 姓名:小明, 昵称:Sherlock) 获取了所有知识点
2024-12-21 03:10:57 [http-nio-8081-exec-8] INFO  operations.student - 学生(id:84, 姓名:小明, 昵称:Sherlock)获取各项成绩
2024-12-21 03:10:58 [http-nio-8081-exec-3] INFO  operations.student - 学生(id:84, 姓名:小明, 昵称:Sherlock)获取历史成绩
2024-12-21 03:10:59 [http-nio-8081-exec-5] INFO  operations.student - 学生(id:84, 姓名:小明, 昵称:Sherlock)获取平均分
2024-12-21 03:10:59 [http-nio-8081-exec-4] INFO  operations.student - 学生(id:84, 姓名:小明, 昵称:Sherlock)获取短板
2024-12-21 03:11:04 [http-nio-8081-exec-7] INFO  operations.student - 学生(id:84, 姓名:小明, 昵称:Sherlock) 获取了所有知识点
2024-12-21 03:11:06 [http-nio-8081-exec-8] INFO  operations.student - 学生(id:84, 姓名:小明, 昵称:Sherlock) 获取了作业列表
2024-12-21 03:11:06 [http-nio-8081-exec-10] INFO  operations.student - 学生(id:84, 姓名:小明, 昵称:Sherlock) 获取了练习列表
2024-12-21 03:11:07 [http-nio-8081-exec-5] INFO  operations.student - 学生(id:84, 姓名:小明, 昵称:Sherlock)获取已截止作业
2024-12-21 03:11:07 [http-nio-8081-exec-3] INFO  operations.student - 学生(id:84, 姓名:小明, 昵称:Sherlock)获取未截止作业
2024-12-21 03:29:48 [http-nio-8081-exec-6] INFO  operations.student - 学生 (id:84, 姓名:小明, 昵称:Sherlock) 更改邮箱
2024-12-21 22:53:08 [http-nio-8081-exec-10] INFO  operations.student - 学生(id:1, 姓名:小美, 昵称:Aozora)获取历史成绩
2024-12-21 22:53:08 [http-nio-8081-exec-8] INFO  operations.student - 学生(id:1, 姓名:小美, 昵称:Aozora)获取各项成绩
2024-12-21 22:53:08 [http-nio-8081-exec-7] INFO  operations.student - 学生(id:1, 姓名:小美, 昵称:Aozora)获取平均分
2024-12-21 22:53:08 [http-nio-8081-exec-9] INFO  operations.student - 学生(id:1, 姓名:小美, 昵称:Aozora)获取短板
2024-12-21 22:58:23 [http-nio-8081-exec-2] INFO  operations.student - 学生(id:1, 姓名:小美, 昵称:Aozora) 获取了作业列表
